time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/approx_kl,train/entropy_loss,train/clip_range,train/learning_rate,train/loss,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/value_loss
1250,65,33.58,81920,-78.68706204,5,0.8883837908506393,0.0073674936,-1.7033505606930703,0.2,0.0003,8.006474494934082,-0.006262571432762343,390,0.085858154296875,17.154072313569486
1206,81,33.54,98304,-79.24097321,6,0.888276107609272,0.0077173896,-1.6748489506542683,0.2,0.0003,7.464247226715088,-0.005807764258133829,400,0.08087158203125,17.91634927969426
1195,95,34.54,114688,-78.08602486999999,7,0.8894148170948029,0.008728784,-1.671332380361855,0.2,0.0003,7.811463356018066,-0.0073431748855000475,410,0.100262451171875,18.31196400038898
2910,5,34.99,16384,-76.71086249999999,1,0.9197061061859131,0.0074914703,-1.6572043433319776,0.2,0.0003,8.054450035095215,-0.006274381730054302,420,0.09705810546875,13.27859744336456
1696,19,35.22,32768,-76.15240675000001,2,0.9188036322593689,0.008329029,-1.6343285988084972,0.2,0.0003,9.741900444030762,-0.006292358941755083,430,0.094964599609375,14.015624558739365
1446,33,35.84,49152,-74.97895891000002,3,0.9294946119189262,0.008258121,-1.627494026347995,0.2,0.0003,5.218966007232666,-0.005473260599774221,440,0.092877197265625,13.055982116796077
1381,47,35.89,65536,-75.39906528,4,0.9270505681633949,0.009585056,-1.6157913522329181,0.2,0.0003,15.226330757141113,-0.006356422870885581,450,0.108953857421875,14.193739084713162
1321,61,36.52,81920,-73.61034752,5,0.9177345559000969,0.007867819,-1.5898313898127525,0.2,0.0003,7.335933685302734,-0.0052651516863534194,460,0.09205322265625,16.501656536199153
1301,75,36.2,98304,-73.11261882,6,0.9223205670714378,0.0088957185,-1.5731837883591653,0.2,0.0003,5.115231990814209,-0.0066107471789109695,470,0.107080078125,16.410314023680986
1304,87,37.7,114688,-72.01921214000002,7,0.8957784175872803,0.0082047405,-1.5490241174120456,0.2,0.0003,6.123342514038086,-0.006124869237464736,480,0.090692138671875,22.39502413533628
3462,4,38.16,16384,-70.73395316000001,1,0.9226696938276291,0.00940533,-1.5345604883041233,0.2,0.0003,15.513784408569336,-0.007169967970185098,490,0.113116455078125,17.378063484281302
1864,17,38.18,32768,-71.38303318,2,0.922556921839714,0.008351342,-1.5318963552359492,0.2,0.0003,7.1531901359558105,-0.0065452672104584055,500,0.093719482421875,18.48382497485727
1492,32,38.07,49152,-71.53711453,3,0.9129187390208244,0.007673632,-1.5157475201878696,0.2,0.0003,11.717986106872559,-0.005390996099504264,510,0.091107177734375,21.9314526906237
1416,46,39.71,65536,-69.79993796,4,0.9220042452216148,0.007948745,-1.5187323205638676,0.2,0.0003,11.469886779785156,-0.00603157359701072,520,0.099749755859375,19.722837956249712
1375,59,39.65,81920,-69.82534735,5,0.9288584589958191,0.006985314,-1.5079845402389764,0.2,0.0003,10.957147598266602,-0.005236961446553323,530,0.09036865234375,18.87565245050937
1358,72,41.39,98304,-67.01906550999999,6,0.9389324858784676,0.008538199,-1.4803173263091594,0.2,0.0003,6.241095542907715,-0.006506512185842439,540,0.10162353515625,17.006420756131412
1355,84,41.7,114688,-67.29512771,7,0.9261550232768059,0.009331113,-1.4570297269150614,0.2,0.0003,10.590156555175781,-0.006276149225141125,550,0.1040283203125,21.27827880885452
3368,4,42.04,16384,-66.03741756,1,0.9187534675002098,0.00739701,-1.4354661411605776,0.2,0.0003,17.337438583374023,-0.004092268413023703,560,0.091778564453125,24.15530146472156
1829,17,42.68,32768,-65.25930871999999,2,0.9227051064372063,0.007351695,-1.4241035499610006,0.2,0.0003,5.240704536437988,-0.003686872297839727,570,0.08289794921875,23.89230422973633
1585,30,43.29,49152,-65.16632887,3,0.9388669990003109,0.008175367,-1.4200515922624617,0.2,0.0003,7.346024990081787,-0.006273924377637741,580,0.107794189453125,19.81623922418803
1490,43,45.02,65536,-62.91730747,4,0.9219147115945816,0.008227134,-1.4030334340408444,0.2,0.0003,7.812387943267822,-0.004726297944853286,590,0.1000732421875,26.343013283424078
1429,57,44.05,81920,-63.25474543,5,0.9391773119568825,0.007675348,-1.389112547552213,0.2,0.0003,11.075545310974121,-0.004312027949845287,600,0.0934814453125,21.28899831455201
1415,69,44.86,98304,-63.026957899999985,6,0.9564074315130711,0.0078807045,-1.3778518186416477,0.2,0.0003,11.420991897583008,-0.004832713808718836,610,0.09227294921875,15.423623031564057
1379,83,45.87,114688,-61.66518325,7,0.9577290266752243,0.009916123,-1.3641792349051685,0.2,0.0003,9.726868629455566,-0.007658827057821327,620,0.114044189453125,15.302924399450422
3049,5,45.03,16384,-63.478055870000006,1,0.951751995831728,0.009701306,-1.3573621984571218,0.2,0.0003,16.800413131713867,-0.006950506360999498,630,0.11845703125,18.433770659938453
1723,19,45.79,32768,-61.45270667999999,2,0.9414949826896191,0.008033134,-1.3531894987914712,0.2,0.0003,25.55475616455078,-0.005653567855461006,640,0.102044677734375,22.54710139464587
1523,32,47.97,49152,-59.40597819,3,0.9506766572594643,0.008642067,-1.3250750216655434,0.2,0.0003,10.117925643920898,-0.0052362864185852235,650,0.099102783203125,19.555266022495925
1416,46,48.89,65536,-57.89468724,4,0.9560487978160381,0.009299178,-1.311762867635116,0.2,0.0003,15.14864444732666,-0.004799670856482407,660,0.101861572265625,16.949187277443706
1349,60,49.84,81920,-57.351335889999994,5,0.9544051550328732,0.008722894,-1.2897307272534817,0.2,0.0003,16.43636131286621,-0.005193125549703836,670,0.10101318359375,18.81065343413502
1309,75,50.36,98304,-56.54995653000001,6,0.9458218589425087,0.009325085,-1.2709707003552466,0.2,0.0003,23.75147247314453,-0.005736207986046793,680,0.11558837890625,23.278310543484984
1302,88,50.38,114688,-56.83987792999999,7,0.9633060730993748,0.009198344,-1.258267237013206,0.2,0.0003,4.306142330169678,-0.005272782487827499,690,0.11348876953125,16.298342685215175
3093,5,51.9,16384,-55.49813352,1,0.9495872259140015,0.0088510085,-1.2633853823412209,0.2,0.0003,6.6429033279418945,-0.004925378518601064,700,0.101873779296875,23.172408364899457
1708,19,53.19,32768,-53.93812292999999,2,0.9633248448371887,0.008843349,-1.2483756558969616,0.2,0.0003,19.47020721435547,-0.005302913372815965,710,0.109771728515625,17.307391784898936
1486,33,52.11,49152,-55.2988486,3,0.9714044984430075,0.008316944,-1.257334574731067,0.2,0.0003,4.504366397857666,-0.004983190437451412,720,0.105255126953125,13.519268933683634
1381,47,53.12,65536,-53.96136603,4,0.9388966076076031,0.00715544,-1.239446099800989,0.2,0.0003,12.28943157196045,-0.0028979640480429223,730,0.083343505859375,31.40433189403266
1316,62,53.56,81920,-54.21649389,5,0.9514172598719597,0.008931858,-1.2208005330991,0.2,0.0003,12.624466896057129,-0.004652466322932014,740,0.1056640625,25.398181489668787
1291,76,53.72,98304,-54.000046170000005,6,0.948875654488802,0.008466864,-1.2128831819631158,0.2,0.0003,2.8073480129241943,-0.00480407788741104,750,0.101849365234375,26.398550087213515
1279,89,55.16,114688,-52.60874316,7,0.9596559703350067,0.009230111,-1.2082090327050536,0.2,0.0003,17.821699142456055,-0.005111595696143922,760,0.102703857421875,21.518244833685458
3198,5,56.59,16384,-51.917115589999995,1,0.9689165037125349,0.009646591,-1.1923666393384338,0.2,0.0003,4.319668769836426,-0.0033903150935202576,770,0.10439453125,16.925359661877156
1707,19,55.67,32768,-53.54260297,2,0.9735627379268408,0.0076393182,-1.1859928593505173,0.2,0.0003,10.289999008178711,-0.0040828185824466345,780,0.09730224609375,15.032885547634214
1497,32,56.28,49152,-52.01839371,3,0.9572222419083118,0.008843859,-1.1914663407020272,0.2,0.0003,2.4990103244781494,-0.003875246155075729,790,0.096051025390625,24.94519425276667
1400,46,57.67,65536,-51.24630688,4,0.93528713285923,0.008341959,-1.1742075796239078,0.2,0.0003,18.95438003540039,-0.0034315338044052625,800,0.09898681640625,36.621494211535904
1366,59,56.48,81920,-52.218857289999995,5,0.9636214859783649,0.0079067,-1.1701094054151326,0.2,0.0003,8.634668350219727,-0.002876254547481949,810,0.105657958984375,20.164100430067627
1350,72,57.92,98304,-50.46250044000001,6,0.9603024199604988,0.007828718,-1.1569955441169442,0.2,0.0003,3.457702159881592,-0.003360405042894854,820,0.096148681640625,23.00259217247367
1346,85,57.56,114688,-50.931680699999994,7,0.9731148313730955,0.0075865444,-1.1469115057494492,0.2,0.0003,1.8724709749221802,-0.002918566239713982,830,0.1030029296875,16.01824238919653
3492,4,58.87,16384,-49.5178777,1,0.9582964889705181,0.009398959,-1.1405131016857921,0.2,0.0003,4.904130458831787,-0.0031768406840456008,840,0.103289794921875,24.707670492306352
1952,16,57.58,32768,-50.32112759,2,0.9578923247754574,0.007835091,-1.1274323523743077,0.2,0.0003,2.177812099456787,-0.0034758359210172785,850,0.099676513671875,25.051305586006492
1690,29,58.03,49152,-49.14501725,3,0.9576908275485039,0.007728232,-1.116217629192397,0.2,0.0003,5.2350592613220215,-0.002311001583575489,860,0.086785888671875,25.741150728147478
1589,41,57.35,65536,-50.38377606000001,4,0.9609021544456482,0.008016331,-1.096769382734783,0.2,0.0003,4.17641544342041,-0.002403792851328035,870,0.091015625,22.818706908728927
1535,53,59.2,81920,-47.82053492,5,0.9642409421503544,0.0074949125,-1.0837435602443293,0.2,0.0003,2.2358579635620117,-0.002297302483475505,880,0.1020263671875,21.555081270262598
1478,66,58.41,98304,-49.07839202,6,0.9869712693616748,0.008475671,-1.0833267523674295,0.2,0.0003,0.9671792387962341,-0.0032620865898024933,890,0.10062255859375,7.452858396153897
1454,78,58.91,114688,-48.03129935999999,7,0.9745284244418144,0.009153262,-1.0714293374447152,0.2,0.0003,1.9883805513381958,-0.003311759047937812,900,0.104736328125,15.48397846436128
3439,4,57.36,16384,-48.879305290000005,1,0.9723596386611462,0.00795453,-1.0709298949688673,0.2,0.0003,5.284419059753418,-0.002078545079621108,910,0.094903564453125,17.002744001010434
1924,17,58.32,32768,-48.80233592,2,0.9767917618155479,0.0089465715,-1.0576586945680901,0.2,0.0003,2.486281156539917,-0.0031216645636959585,920,0.097479248046875,14.141912831040099
1680,29,57.55,49152,-49.84715539,3,0.9690049309283495,0.009258917,-1.062130137393251,0.2,0.0003,1.8516989946365356,-0.002569334811732915,930,0.100299072265625,19.159502930240706
1575,41,58.27,65536,-48.616066149999995,4,0.9624959528446198,0.009306771,-1.0530803334200756,0.2,0.0003,1.683387041091919,-0.0030273471325017454,940,0.097369384765625,23.19163288632408
1520,53,58.16,81920,-48.85817598,5,0.979756535962224,0.0066868104,-1.0403566251974552,0.2,0.0003,2.0396506786346436,-0.00142928376344571,950,0.09403076171875,12.43093203343451
1488,66,59.18,98304,-47.488597000000006,6,0.9762972872704268,0.008620307,-1.0418474985053763,0.2,0.0003,3.6359190940856934,-0.0024971717612515933,960,0.086395263671875,14.668854441586882
1465,78,58.73,114688,-47.78393268999999,7,0.986597147770226,0.008581927,-1.0279118575388566,0.2,0.0003,1.1536040306091309,-0.003623019490169099,970,0.100189208984375,8.467201551375911
3500,4,58.98,16384,-48.251696460000005,1,0.9729722365736961,0.008800628,-1.0166898571653291,0.2,0.0003,1.788902759552002,-0.0025744834514625837,980,0.093292236328125,17.02696798024699
1921,17,58.4,32768,-47.868538879999996,2,0.9613296315073967,0.01019324,-0.9989729469874874,0.2,0.0003,15.799213409423828,-0.0037831988340258247,990,0.112103271484375,24.15543256495148
1683,29,59.36,49152,-47.260009690000004,3,0.9719672426581383,0.009108785,-0.9832767465617508,0.2,0.0003,3.639613628387451,-0.003656924964616337,1000,0.11353759765625,17.209547266364098
1580,41,59.53,65536,-46.85070498,4,0.9856819333508611,0.008683499,-0.971269980724901,0.2,0.0003,2.9577603340148926,-0.004038563690664887,1010,0.110894775390625,8.846029648929834
1516,54,59.25,81920,-47.17453169000001,5,0.9666288308799267,0.009174233,-0.9602217084029689,0.2,0.0003,39.40550994873047,-0.0038677070818721403,1020,0.09573974609375,20.781897959299386
1457,67,59.54,98304,-46.12921969,6,0.9697800949215889,0.010031475,-0.9472290959442035,0.2,0.0003,13.63128662109375,-0.0033223386642021067,1030,0.108013916015625,18.55879091913812
