time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/loss,train/clip_fraction,train/entropy_loss,train/clip_range,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/n_updates
34,-93.19729329,479,16384,1,30.75,19.807811737060547,0.13966064453125,-2.625796658266336,0.2,0.011532923,0.0003,-0.012209153025287378,41.70730200335383,0.6514320969581604,440
33,-92.35684527,489,16384,1,33.86,25.791311264038086,0.13759765625,-2.6205789546482263,0.2,0.011545824,0.0003,-0.012735621015417564,32.243093606829646,0.7267152965068817,450
35,-92.28417895000001,464,16384,1,31.2,17.644023895263672,0.128619384765625,-2.61197296846658,0.2,0.011103187,0.0003,-0.011245641646110017,40.757976522296666,0.6556534469127655,460
35,-93.14869221999997,463,16384,1,31.0,21.94292640686035,0.1345947265625,-2.6076512970030308,0.2,0.0112626515,0.0003,-0.011233533842732868,46.016449947655204,0.6382293403148651,470
33,-92.02413037999999,487,16384,1,31.03,20.44692611694336,0.135296630859375,-2.6050708018243314,0.2,0.010723347,0.0003,-0.012368705649896583,46.459044832736254,0.6360710859298706,480
35,-92.98110950999998,460,16384,1,31.94,21.200298309326172,0.136126708984375,-2.601984967570752,0.2,0.011306701,0.0003,-0.012403873608582217,49.70979134067893,0.6224074065685272,490
34,-93.68748042000001,476,16384,1,34.15,35.32160186767578,0.13028564453125,-2.603924365155399,0.2,0.010835851,0.0003,-0.010827136439547757,45.27963571697474,0.6501197814941406,500
33,-91.31049923,482,16384,1,33.19,19.61798858642578,0.134228515625,-2.597517118882388,0.2,0.010834637,0.0003,-0.011694766478012753,52.109142023324964,0.5906845331192017,510
34,-91.10592759999997,476,16384,1,33.52,19.028535842895508,0.14505615234375,-2.593890419229865,0.2,0.011986133,0.0003,-0.012863338588522311,58.502778926491736,0.6045582294464111,520
33,-92.16810358999999,487,16384,1,32.26,26.599029541015625,0.135809326171875,-2.5957295559346676,0.2,0.010768905,0.0003,-0.011840425179161684,59.90164363011718,0.5907626748085022,530
30,-90.49237099,542,16384,1,35.09,26.973434448242188,0.137445068359375,-2.5884840074926614,0.2,0.0106900865,0.0003,-0.012143276059578056,56.866694308072326,0.5941692292690277,540
35,-90.83818842999999,464,16384,1,33.08,29.946130752563477,0.134759521484375,-2.5864403418265285,0.2,0.012116414,0.0003,-0.011627888100883865,64.98988076299429,0.5737408101558685,550
30,-93.31973704000002,530,16384,1,33.5,26.19209098815918,0.131170654296875,-2.5887591361999513,0.2,0.010787372,0.0003,-0.01168306690051395,57.456828656047584,0.6200927495956421,560
34,-90.52773357999999,471,16384,1,34.16,27.855520248413086,0.1291748046875,-2.5903819828294217,0.2,0.0109502375,0.0003,-0.011615315800645476,57.97347493544221,0.6070912182331085,570
38,-90.04257608,429,16384,1,33.8,29.63968276977539,0.1344482421875,-2.5824780909344556,0.2,0.011478508,0.0003,-0.011496492060177842,64.73493757098913,0.57574063539505,580
33,-90.51893676,493,16384,1,34.87,21.34307098388672,0.136383056640625,-2.5744505785405636,0.2,0.010883044,0.0003,-0.011395789139805856,61.08191268742085,0.6316648423671722,590
34,-89.52503138999998,479,16384,1,33.26,30.99382209777832,0.130877685546875,-2.575188295915723,0.2,0.011440016,0.0003,-0.011325487625640562,75.86577351093293,0.5626786947250366,600
40,-91.62466062999998,409,16384,1,33.08,47.66518020629883,0.127337646484375,-2.5786772896535695,0.2,0.011316148,0.0003,-0.010518079498342558,76.9059710919857,0.5703748762607574,610
35,-89.49373963999997,466,16384,1,33.06,30.82487678527832,0.136920166015625,-2.5855874443426727,0.2,0.011165826,0.0003,-0.011178260404540197,64.1628534808755,0.6242725253105164,620
34,-91.12649113999998,469,16384,1,34.72,25.958383560180664,0.131878662109375,-2.5743230001069604,0.2,0.011130431,0.0003,-0.011817365089518717,70.57799764424563,0.5574629008769989,630
36,-91.45259689999999,455,16384,1,37.26,41.222625732421875,0.126751708984375,-2.5667704407125713,0.2,0.010174302,0.0003,-0.011608524048369873,80.6708333492279,0.5405676960945129,640
39,-90.07692873999999,413,16384,1,33.74,32.99013900756836,0.140252685546875,-2.5671027299948035,0.2,0.011865817,0.0003,-0.0130698263837985,83.31776054054498,0.5948903858661652,650
33,-90.33201794,492,16384,1,36.29,52.1872444152832,0.1416748046875,-2.559233817178756,0.2,0.01121661,0.0003,-0.013478756974564021,89.53634347766638,0.5781310200691223,660
35,-88.06926731999998,463,16384,1,36.55,40.26836013793945,0.133172607421875,-2.555145986471325,0.2,0.011303969,0.0003,-0.01189777194836097,96.65064432621003,0.5542464256286621,670
