time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/approx_kl,train/entropy_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_range,train/loss
69,-85.50396803000001,24.94,938,4,65536,0.8732296675443649,0.012916753,-5.601575602218508,0.1865966796875,13.039742397889494,0.0003,-0.0023999669119803,310,0.2,6.33032751083374
90,-85.36865957000002,26.86,905,5,81920,0.899966299533844,0.015676292,-5.555831928178668,0.215350341796875,10.412766576930881,0.0003,-0.0019318094331538306,320,0.2,5.231790065765381
111,-85.30383922999998,26.74,885,6,98304,0.9082182571291924,0.01509062,-5.533060913160443,0.200811767578125,10.666888771019876,0.0003,-0.0017010853638566915,330,0.2,7.236651420593262
131,-83.79888115000001,28.53,870,7,114688,0.9137342423200607,0.016911913,-5.426315875351429,0.19111328125,10.36514141112566,0.0003,2.8527108861453597e-05,340,0.2,6.761918544769287
8,-82.4501901,28.7,2038,1,16384,0.9002666771411896,0.014541682,-5.354724978469312,0.17073974609375,12.23573114387691,0.0003,0.0024013938595999207,350,0.2,5.203701019287109
28,-83.37183988000001,27.54,1167,2,32768,0.8936896771192551,0.022910366,-5.2524613086134195,0.18026123046875,13.804687182046473,0.0003,0.00505870559336472,360,0.2,8.438125610351562
48,-82.50587611,29.4,1023,3,49152,0.8108017444610596,0.016030842,-5.150708254985512,0.165380859375,24.59192248545587,0.0003,0.0008169242665189813,370,0.2,13.487648963928223
67,-82.67144936000001,28.94,966,4,65536,0.8812539130449295,0.013344109,-5.184732538834214,0.1733154296875,15.263592007383703,0.0003,0.004640015709810541,380,0.2,6.532015800476074
87,-83.5955438,28.28,932,5,81920,0.7885196954011917,0.016009063,-5.118139024451375,0.156549072265625,28.674013974890112,0.0003,0.0015544679990853183,390,0.2,15.300007820129395
108,-83.96032835000001,27.73,909,6,98304,0.7752688527107239,0.013923057,-5.045416519790888,0.15743408203125,30.81378660351038,0.0003,0.0032824847742631393,400,0.2,10.612059593200684
128,-83.2737456,28.2,894,7,114688,0.7357308864593506,0.013715282,-5.009364924766123,0.155914306640625,35.76945648416877,0.0003,0.0017216498246853007,410,0.2,18.132431030273438
8,-82.74146231,30.5,1942,1,16384,0.7937740683555603,0.0150103755,-5.0173522613942625,0.159161376953125,26.253582448139788,0.0003,0.0028906323842420533,420,0.2,10.379647254943848
29,-81.91906035000001,30.04,1119,2,32768,0.8064355552196503,0.015013792,-4.990540869161487,0.160638427734375,26.8236427616328,0.0003,0.0028817793674534185,430,0.2,14.957196235656738
49,-81.72810539,30.46,997,3,49152,0.8802502676844597,0.01922909,-4.9985469620674845,0.1802490234375,15.823735582828522,0.0003,0.005160333645653737,440,0.2,8.352693557739258
70,-81.92516499,30.37,931,4,65536,0.8818507120013237,0.012964834,-4.918380208872259,0.171685791015625,17.14048091676086,0.0003,0.004615864161041827,450,0.2,6.332333564758301
91,-81.87980967,30.44,899,5,81920,0.8970916345715523,0.015998933,-4.892748039960861,0.183062744140625,15.197605772316455,0.0003,0.005691134454900748,460,0.2,9.256147384643555
113,-82.10163234,31.35,863,6,98304,0.9002033397555351,0.016351532,-4.846212238259613,0.177044677734375,14.263307631388306,0.0003,0.0065358750947780205,470,0.2,7.4130048751831055
133,-82.19723386,30.71,857,7,114688,0.8870255351066589,0.017768074,-4.814493034407496,0.183587646484375,16.561828735284507,0.0003,0.008578845757710951,480,0.2,11.990568161010742
8,-82.31400196,30.7,2041,1,16384,0.9009700268507004,0.017406588,-4.775621564127505,0.181927490234375,14.857311794161797,0.0003,0.006291612215136411,490,0.2,8.10477066040039
28,-81.43240915999999,31.43,1167,2,32768,0.8661207854747772,0.016351301,-4.782146055996418,0.17166748046875,20.220517494902015,0.0003,0.004547075920527277,500,0.2,11.637103080749512
48,-82.18841317,30.93,1019,3,49152,0.8663226962089539,0.021033488,-4.766085615567863,0.17958984375,19.19549889471382,0.0003,0.009801874117420084,510,0.2,8.396574974060059
68,-81.85970522000001,31.06,962,4,65536,0.8831066712737083,0.016809516,-4.735185266658664,0.179559326171875,17.08266093917191,0.0003,0.009975464131139233,520,0.2,10.736624717712402
88,-82.1144204,31.61,926,5,81920,0.879617914557457,0.014622424,-4.692178181372583,0.175689697265625,18.869466821849347,0.0003,0.006357599718467099,530,0.2,6.320023536682129
108,-82.64663161,31.68,902,6,98304,0.8838676512241364,0.022989146,-4.66555212251842,0.174188232421875,18.13061970565468,0.0003,0.006880842690952705,540,0.2,10.20805549621582
129,-80.81834522999999,31.01,888,7,114688,0.8823691457509995,0.03992763,-4.676321100443602,0.181365966796875,18.609833551198243,0.0003,0.00806562129064332,550,0.2,13.008307456970215
8,-82.25571904,30.55,1963,1,16384,0.9080891758203506,0.014348163,-4.697207460366189,0.186639404296875,13.293933427892625,0.0003,0.008001129758849857,560,0.2,7.950709342956543
30,-81.26604468000001,31.17,1075,2,32768,0.9104702398180962,0.022017509,-4.640735291317105,0.172772216796875,13.993909779377281,0.0003,0.010143343286563323,570,0.2,5.5625104904174805
52,-81.30040560999998,30.9,940,3,49152,0.8984440788626671,0.016862635,-4.590513022616506,0.172894287109375,15.286996039375662,0.0003,0.005853289987044263,580,0.2,7.197397232055664
73,-80.84703191,31.16,895,4,65536,0.8978877067565918,0.012806497,-4.530861239694059,0.16566162109375,15.198218110948801,0.0003,0.007630066756701126,590,0.2,6.159836769104004
93,-80.42908897000001,31.56,879,5,81920,0.9124053865671158,0.024945838,-4.54165969081223,0.164599609375,13.115327518992126,0.0003,0.006805230180452782,600,0.2,6.9845290184021
