time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,train/value_loss,train/loss,train/clip_range,train/explained_variance,train/learning_rate,train/clip_fraction,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/entropy_loss
16384,15.35,50,-83.03208078,327,1,1.0347502233460546,0.41137245297431946,0.2,0.9885232588276267,0.0003,0.1650634765625,0.011743674,350,0.0017121000623774307,-4.895938411727547
32768,15.27,131,-83.03411767,248,2,1.0047344260499813,0.5290755033493042,0.2,0.9888607747852802,0.0003,0.148345947265625,0.009757095,360,0.0028212747263751227,-4.841982171498239
49152,15.42,233,-83.21177048,210,3,0.9825865440187045,0.6410223841667175,0.2,0.9890051959082484,0.0003,0.168780517578125,0.014060419,370,0.004676491746977263,-4.756612885929644
65536,15.1,304,-83.1617828,215,4,1.0676465893746354,0.9326149821281433,0.2,0.9879496619105339,0.0003,0.147723388671875,0.010271519,380,0.003048736580512923,-4.629802254959941
81920,15.11,400,-82.94399734999999,204,5,1.0594461156986654,0.4988200068473816,0.2,0.9878606935963035,0.0003,0.16446533203125,0.011227119,390,0.0016376205606320581,-4.497945067472756
98304,15.12,480,-82.93390217,204,6,1.0675059706671164,0.455150306224823,0.2,0.9874856881797314,0.0003,0.1462158203125,0.009053803,400,0.0028098766175389755,-4.397791843116283
114688,15.14,571,-82.79326143,200,7,1.0057456521433779,0.5233139395713806,0.2,0.9889829130843282,0.0003,0.146978759765625,0.011704491,410,0.003282273174227157,-4.397802975960076
16384,15.07,53,-82.77066626,307,1,1.0554497767006978,0.9238427877426147,0.2,0.9881593966856599,0.0003,0.12742919921875,0.008775214,420,0.004356380670560611,-4.290610603801906
32768,15.02,131,-82.87495559000001,249,2,1.012581694847904,0.4274585545063019,0.2,0.9884770130738616,0.0003,0.12723388671875,0.010842541,430,0.003266375157636503,-4.158769464027136
49152,14.79,231,-83.14111672000001,212,3,1.024545047059655,0.2550447881221771,0.2,0.9885443719103932,0.0003,0.1364501953125,0.011975663,440,0.0036281852635511314,-4.107135578431189
65536,15.02,312,-82.84629440999998,209,4,1.0347650636686012,0.4559182822704315,0.2,0.9882650030776858,0.0003,0.136517333984375,0.012756544,450,0.0036828414721640002,-4.200465926900506
81920,15.02,405,-82.87798860999999,202,5,1.0626110838842577,0.4944453835487366,0.2,0.9879807783290744,0.0003,0.13597412109375,0.008458067,460,0.0035578740135861152,-4.068168115150184
98304,15.21,486,-82.65424488,202,6,1.0711346545256675,0.5130681395530701,0.2,0.9884879002347589,0.0003,0.13878173828125,0.009639851,470,0.0026579080806641286,-3.8975196165964006
114688,15.12,577,-82.74843904,198,7,1.0332024511648341,0.3717084527015686,0.2,0.9888427294790745,0.0003,0.1412353515625,0.009928452,480,0.00363022121728136,-3.8751176313497124
16384,14.95,45,-82.92887686,359,1,1.0250605661189183,0.34880530834198,0.2,0.9888064665719867,0.0003,0.146026611328125,0.014882386,490,0.002999774338604766,-3.8582399248145522
32768,15.15,152,-82.58128171999999,214,2,0.9750580686493777,0.5278868675231934,0.2,0.9890736946836114,0.0003,0.127435302734375,0.008787278,500,0.002584550723349821,-3.815109402500093
49152,15.06,246,-82.65350889,199,3,0.9811543261748739,0.41705790162086487,0.2,0.9891937281936407,0.0003,0.13885498046875,0.014267972,510,0.004279940145352157,-3.667617399431765
65536,14.91,329,-82.84618659,198,4,0.9666152943391353,0.5547769069671631,0.2,0.9892410449683666,0.0003,0.131793212890625,0.01185495,520,0.003313038037958904,-3.715329426713288
81920,15.08,429,-82.56993023000001,190,5,0.9735933441668749,0.4984554350376129,0.2,0.9890647660940886,0.0003,0.145953369140625,0.011555168,530,0.0043271424098747955,-3.657162175793201
