time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/loss,train/n_updates,train/value_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range
124,264,28.42,-94.43755273999999,2,32768,-0.05008904609530873,0.06316255,0.7111461162567139,5.493681907653809,570,14.659976354427636,0.509503173828125,0.0003,-19.906073534488677,0.2
107,459,27.28,-94.35922919999997,3,49152,-0.04895284237945816,0.057149995,0.6659688651561737,11.888532638549805,580,18.884793270006774,0.4793212890625,0.0003,-19.89537136927247,0.2
97,669,29.08,-95.35950818,4,65536,-0.04910044615598963,0.060757495,0.6913838684558868,6.39094352722168,590,16.74479452949017,0.5100341796875,0.0003,-19.858006174117328,0.2
95,859,29.29,-96.73496874,5,81920,-0.04735231590293552,0.06377361,0.6707490980625153,5.4462690353393555,600,17.467639692686497,0.50067138671875,0.0003,-19.786239823699,0.2
92,1063,29.11,-96.53802295999999,6,98304,-0.051930126322622526,0.06251313,0.6991910040378571,7.135578632354736,610,18.096207930892707,0.502947998046875,0.0003,-19.700823008269072,0.2
91,1248,28.09,-94.52127865,7,114688,-0.04701788901766122,0.06053681,0.6364495754241943,6.123806953430176,620,21.584625486657025,0.488677978515625,0.0003,-19.623583215475083,0.2
224,72,30.08,-93.95265998999999,1,16384,-0.048424760596753914,0.06140077,0.6813777089118958,6.399141311645508,630,20.054044006206095,0.500048828125,0.0003,-19.560335678607224,0.2
122,266,28.49,-92.65688191999999,2,32768,-0.047155222500396124,0.060485844,0.6347986161708832,8.832953453063965,640,21.9710911847651,0.49525146484375,0.0003,-19.514839148521425,0.2
108,454,29.63,-92.91713928000001,3,49152,-0.04730082839923853,0.05764571,0.5965419411659241,14.384967803955078,650,26.70634971987456,0.490093994140625,0.0003,-19.470752116292715,0.2
99,655,28.79,-93.58903737,4,65536,-0.04845322619494254,0.06601907,0.6876967549324036,5.535990238189697,660,19.65077333021909,0.52042236328125,0.0003,-19.43338814154267,0.2
95,859,28.6,-92.1074991,5,81920,-0.047269344434789674,0.0623251,0.6498724222183228,4.705112457275391,670,21.784614374116064,0.508099365234375,0.0003,-19.363940192013978,0.2
92,1062,27.77,-91.79452074000001,6,98304,-0.04455758196199895,0.057592545,0.6190789937973022,8.099124908447266,680,24.00548363234848,0.48887939453125,0.0003,-19.30378197878599,0.2
91,1256,28.18,-93.72762066000001,7,114688,-0.049113144548573476,0.062832065,0.6622711718082428,10.848481178283691,690,22.95668239556253,0.505877685546875,0.0003,-19.294910403341056,0.2
271,60,30.15,-92.32337858999998,1,16384,-0.04978402042188464,0.06278516,0.6437787413597107,10.026971817016602,700,22.133663546666504,0.5101806640625,0.0003,-19.281016997992992,0.2
122,268,29.23,-92.80671526,2,32768,-0.046900103086954914,0.0652192,0.657235324382782,10.932933807373047,710,21.211362381279468,0.501800537109375,0.0003,-19.218538779765368,0.2
104,468,27.63,-91.42032769,3,49152,-0.0457612574160521,0.06384653,0.6573247909545898,5.975287914276123,720,21.723245867900552,0.5013916015625,0.0003,-19.16227143481374,0.2
97,672,30.37,-94.56395755,4,65536,-0.04581626634062559,0.06285176,0.636164128780365,7.761722564697266,730,24.88324276432395,0.499578857421875,0.0003,-19.075242763757707,0.2
92,883,29.67,-91.31422763999998,5,81920,-0.04986721588029468,0.06509453,0.6461590528488159,9.078805923461914,740,21.434400378726423,0.510894775390625,0.0003,-19.077822063863277,0.2
90,1084,29.39,-93.33952672,6,98304,-0.046908066156720454,0.061182756,0.5904822945594788,13.006897926330566,750,28.65610946379602,0.490252685546875,0.0003,-18.998636856675148,0.2
89,1279,28.06,-92.94030867,7,114688,-0.04657884599419049,0.06227109,0.5855959057807922,7.032359600067139,760,29.322571385279296,0.50447998046875,0.0003,-18.974128495156766,0.2
239,68,29.18,-93.09865911999998,1,16384,-0.04795631652468728,0.06409623,0.5650132894515991,9.976885795593262,770,31.576890409737825,0.4957275390625,0.0003,-18.948630235344172,0.2
124,262,28.28,-94.20585496999996,2,32768,-0.04659157875103119,0.067983255,0.60211181640625,8.586636543273926,780,29.640643132850528,0.51429443359375,0.0003,-18.847541861236095,0.2
107,458,30.51,-92.85830770999999,3,49152,-0.046508823369913445,0.063979626,0.6136690080165863,14.451354026794434,790,28.386812519654633,0.511224365234375,0.0003,-18.82461701706052,0.2
99,655,30.63,-91.18769621999998,4,65536,-0.04674982186706984,0.063210934,0.590898185968399,5.964576244354248,800,32.941710617765786,0.49044189453125,0.0003,-18.74054964259267,0.2
