time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/loss,train/explained_variance,train/n_updates
972,65536,29.52,67,-96.72615126999999,4,0.014318795,0.208392333984375,-0.017147512124756757,5.219067969173193,0.0003,0.2,-6.909045631811023,2.5992465019226074,0.911611869931221,100
945,81920,28.45,86,-95.72226812,5,0.014868167,0.2045166015625,-0.016888387839571806,5.993727264367044,0.0003,0.2,-6.856765878759324,2.131288528442383,0.9007759466767311,110
928,98304,28.3,105,-94.49472579000002,6,0.0145180235,0.20279541015625,-0.014959321107562573,7.65481395823881,0.0003,0.2,-6.778555808402598,2.621001720428467,0.8812424913048744,120
924,114688,29.09,123,-93.31300526,7,0.014071187,0.20079345703125,-0.015924770034325776,7.746100213378668,0.0003,0.2,-6.721780375950038,4.0254411697387695,0.8825787007808685,130
2544,16384,29.02,6,-94.56728427,1,0.014686294,0.204864501953125,-0.015981417819875787,7.864314870536328,0.0003,0.2,-6.651515688747168,3.4847075939178467,0.8861204609274864,140
1117,32768,28.67,29,-92.07965135,2,0.015752435,0.207275390625,-0.015864787259761214,9.3575176326558,0.0003,0.2,-6.605088293366134,6.095155715942383,0.8696895688772202,150
968,49152,28.81,50,-90.68214968000001,3,0.016752306,0.228851318359375,-0.016926015456374444,8.349292912427336,0.0003,0.2,-6.52913511171937,3.445399761199951,0.8863550052046776,160
913,65536,29.99,71,-89.21017328999999,4,0.017961109,0.24534912109375,-0.01944137635509833,8.601822150871158,0.0003,0.2,-6.444029162451625,4.961902141571045,0.8981196209788322,170
896,81920,30.07,91,-88.00797924999999,5,0.016151214,0.230218505859375,-0.017595854602495818,9.947562856134027,0.0003,0.2,-6.35493364483118,3.1421937942504883,0.8876314833760262,180
860,98304,30.43,114,-86.86185781,6,0.017489012,0.23934326171875,-0.019014616015556384,11.714958171732723,0.0003,0.2,-6.251523319445551,4.856200695037842,0.8852872624993324,190
