time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/loss,train/entropy_loss,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance
49152,22.31,-92.18870116,3,101,484,0.0072794942645487025,0.015880227,0.2,0.207086181640625,7.319727897644043,-14.67639611400664,0.0003,580,15.781090993247926,0.7771352082490921
65536,22.5,-92.94597797,4,94,693,0.005455032040663355,0.013896493,0.2,0.18433837890625,7.282541275024414,-14.478729663416743,0.0003,590,14.539987255632877,0.7893431633710861
81920,21.81,-93.49049237999999,5,91,897,0.005492541374314897,0.015222544,0.2,0.185333251953125,8.942527770996094,-14.774053401127457,0.0003,600,15.889391618594527,0.7732810229063034
98304,21.98,-92.57690092999998,6,89,1094,0.005935303512887913,0.013749023,0.2,0.190875244140625,8.653019905090332,-14.852307782694698,0.0003,610,15.633070499822498,0.7692627161741257
114688,21.84,-92.384744,7,87,1314,0.005853266284611891,0.0152328275,0.2,0.18944091796875,8.514199256896973,-14.921721535176038,0.0003,620,15.536323090270162,0.7693336755037308
16384,22.02,-92.68773424000001,1,213,76,0.006692867997480789,0.014067838,0.2,0.201422119140625,9.138925552368164,-15.123989590257406,0.0003,630,16.668325223214925,0.7545387595891953
32768,22.85,-92.97653874,2,119,273,0.005001316256357313,0.015559689,0.2,0.188580322265625,8.037825584411621,-15.148948715254665,0.0003,640,14.004229822941124,0.7948862910270691
49152,22.06,-92.75275313,3,98,498,0.00668976703145745,0.013555348,0.2,0.19476318359375,8.095282554626465,-15.386390662193298,0.0003,650,15.17643196210265,0.7854850590229034
65536,22.97,-91.53997804000002,4,92,704,0.005580211101732857,0.014527774,0.2,0.192742919921875,10.6409273147583,-15.383151979744435,0.0003,660,15.23901818934828,0.76388980448246
81920,22.79,-92.46602804999999,5,89,914,0.006235946756032717,0.015161393,0.2,0.195367431640625,7.518162250518799,-15.396609752252697,0.0003,670,16.83240633998066,0.7511546313762665
98304,22.8,-92.40481915000001,6,86,1131,0.006769483998959913,0.014882165,0.2,0.19639892578125,8.056649208068848,-15.497816507145762,0.0003,680,17.829752138070763,0.7583442777395248
114688,21.67,-91.27340663000001,7,85,1341,0.005961290906270733,0.01678104,0.2,0.192449951171875,7.629304885864258,-15.287061864510179,0.0003,690,14.494723560847342,0.7937861233949661
16384,21.26,-91.11436660999999,1,251,65,0.005637395311987347,0.0141577665,0.2,0.182525634765625,6.704958915710449,-15.630814525112509,0.0003,700,15.255501678399742,0.7886199057102203
32768,21.77,-90.74116308000002,2,118,277,0.004762576147732034,0.014688654,0.2,0.183526611328125,4.939536094665527,-15.294166753813624,0.0003,710,14.321571815572678,0.7804550975561142
49152,21.28,-91.01699585,3,99,492,0.005862479271308984,0.014070258,0.2,0.182025146484375,8.449373245239258,-15.362575235590338,0.0003,720,16.012911326251924,0.7760329693555832
65536,21.51,-91.6448929,4,93,701,0.0058530331872134415,0.016035039,0.2,0.18863525390625,8.560348510742188,-15.525984332710504,0.0003,730,15.580319832079113,0.7830079346895218
81920,20.39,-91.49077437000001,5,89,913,0.0059496612844668565,0.015308095,0.2,0.19112548828125,6.583332538604736,-15.359015295654535,0.0003,740,16.17539189774543,0.7693928778171539
98304,21.13,-91.56631182000001,6,86,1131,0.007017486756558356,0.016376033,0.2,0.196826171875,8.000575065612793,-15.277788768336176,0.0003,750,17.584901786223053,0.7506271749734879
114688,21.3,-92.02198727,7,86,1330,0.00498009490847835,0.0181831,0.2,0.189361572265625,8.204113960266113,-15.284391533583403,0.0003,760,14.993696597218513,0.7800444513559341
16384,22.23,-92.00214032,1,197,82,0.006290383911027675,0.01603397,0.2,0.193994140625,5.123995780944824,-15.41209007576108,0.0003,770,14.78448265492916,0.7930456846952438
