time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/value_loss,train/n_updates
2792,-70.18419211,37.25,2,32768,11,0.105047607421875,0.0003,0.2,12.607905387878418,-0.006014398827028344,-1.5393928549252451,0.9001057147979736,0.0083418265,20.963636742159725,430
2446,-71.43610088999999,36.46,3,49152,20,0.097088623046875,0.0003,0.2,9.465511322021484,-0.00510008543665208,-1.5288461409043521,0.9137475192546844,0.008192793,19.167078410089015,440
2302,-70.69593806,36.94,4,65536,28,0.106939697265625,0.0003,0.2,17.060264587402344,-0.006959326496144058,-1.515368320979178,0.9201018586754799,0.008793847,18.77153968922794,450
2228,-69.89258381999998,37.68,5,81920,36,0.099566650390625,0.0003,0.2,9.044557571411133,-0.005718908934613865,-1.5063665182795376,0.9212743937969208,0.008870425,19.160621346719562,460
2173,-69.86956312,37.73,6,98304,45,0.08797607421875,0.0003,0.2,9.478302955627441,-0.004944582437201461,-1.4891005862969906,0.9194483011960983,0.0077835633,20.03486479111016,470
2144,-69.0204195,38.58,7,114688,53,0.109490966796875,0.0003,0.2,6.699057579040527,-0.007199594097619411,-1.4744348728097976,0.9167811125516891,0.009092797,21.155723585374652,480
4689,-66.6239328,40.56,1,16384,3,0.094622802734375,0.0003,0.2,9.372239112854004,-0.005053677092109865,-1.4682356159202754,0.9350835531949997,0.007364155,17.59953253045678,490
2774,-65.21924943,41.73,2,32768,11,0.100164794921875,0.0003,0.2,13.068580627441406,-0.006176934456925664,-1.4512791560031473,0.9364612102508545,0.008746433,17.91346561592072,500
2453,-66.13693205,41.55,3,49152,20,0.10098876953125,0.0003,0.2,4.425200462341309,-0.006076320252486766,-1.435681262379512,0.9444332458078861,0.008031671,16.378949075192214,510
2321,-64.88724637,42.1,4,65536,28,0.110565185546875,0.0003,0.2,12.368758201599121,-0.005464684683829546,-1.4266307959798723,0.9405259341001511,0.008577205,18.203406434692443,520
2251,-63.65927952000001,43.48,5,81920,36,0.10184326171875,0.0003,0.2,12.202122688293457,-0.005114907760162169,-1.4242647368926555,0.9328471273183823,0.00853217,21.37601787764579,530
2198,-63.815881870000005,43.51,6,98304,44,0.103509521484375,0.0003,0.2,4.632447719573975,-0.005151917502507786,-1.4070548796560616,0.932836189866066,0.0082494365,21.87394333221018,540
2166,-61.55167763999999,45.63,7,114688,52,0.104974365234375,0.0003,0.2,4.847681999206543,-0.005766806822884973,-1.4015435207635165,0.9533373489975929,0.0089206435,15.487598451413215,550
3494,-62.880613489999995,44.23,1,16384,4,0.10025634765625,0.0003,0.2,3.998547315597534,-0.005154649084170159,-1.3918192780576646,0.9506463780999184,0.008317271,17.22047984562814,560
92,-63.010658209999995,45.02,2,32768,353,0.1037841796875,0.0003,0.2,6.572305202484131,-0.004715716947612236,-1.3694995640777052,0.9529431760311127,0.008318549,17.16206525079906,570
135,-61.03653835000001,45.93,3,49152,362,0.1035400390625,0.0003,0.2,16.0087833404541,-0.0034145208413974616,-1.3602209333796054,0.9465097598731518,0.008454258,20.069662287272514,580
175,-60.72116692,47.09,4,65536,372,0.0978759765625,0.0003,0.2,5.374463081359863,-0.004468019997898409,-1.3611249897629023,0.9590896107256413,0.007643874,15.61191354142502,590
214,-59.43436883999999,48.08,5,81920,381,0.107818603515625,0.0003,0.2,6.938361644744873,-0.005635318360873498,-1.3504880973603577,0.9548945687711239,0.00878318,17.5078988276422,600
252,-59.77969645,48.27,6,98304,389,0.1091064453125,0.0003,0.2,6.135525226593018,-0.00548535701423134,-1.3360697483178228,0.9503789097070694,0.008261721,20.008409524522722,610
288,-58.69580735,49.3,7,114688,397,0.1061767578125,0.0003,0.2,7.869239330291748,-0.00484294838979622,-1.3205043192952872,0.9505307972431183,0.008278329,20.603800334781408,620
4726,-57.81142848,49.5,1,16384,3,0.11011962890625,0.0003,0.2,5.107337951660156,-0.005515025458134914,-1.3133936256635934,0.9569906368851662,0.009934297,18.120111441239715,630
2811,-57.385856249999996,49.93,2,32768,11,0.099139404296875,0.0003,0.2,7.44287109375,-0.004344405011943308,-1.2999201163649559,0.9411410577595234,0.008730156,24.712958097085355,640
